车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11246,1066.333,939.5887_0.8429536_908.5142,Left,8.775962,0_1,65_51
11247,1067.453,1127.173_0.8433979_1100.371,Left,26.29995,0_2,61_51
11248,1069.054,948.4979_0.730626_909.7896,Left,29.31855,0_3,65_61
11249,1069.534,933.6493_0.8429536_907.6638,Left,9.241624,0_1,65_66
11250,1069.854,760.5212_0.8429536_1012.166,Right,33.11205,0_1,66_65
11251,1070.174,942.5584_0.9621004_908.9393,Left,25.55454,2_0,65_51
11252,1070.654,936.619_0.8651666_908.089,Left,6.902184,0_0,65_51
11253,1070.654,760.042_0.8433979_1015.128,Right,23.37697,0_2,66_61
11254,1070.974,892.6105_0.8433979_1175.439,Left,27.11916,0_2,51_61
11255,1072.094,760.5212_0.8651666_1012.166,Right,7.72911,0_0,66_65
11256,1072.575,883.7171_1.362484_1174.058,Left,17.64117,1_2,51_65
11257,1072.895,1130.014_0.8429536_1082.596,Left,15.21315,0_1,61_65
11258,1073.535,933.6493_0.9621004_907.6638,Left,18.6022,2_0,65_66
11259,1073.695,1128.12_0.8429536_1094.446,Left,26.97578,0_1,61_66
11260,1074.015,886.6816_0.688456_1174.519,Left,20.15624,0_4,51_65
11261,1076.095,880.7526_0.8429536_1173.598,Left,21.33155,0_1,51_65
11262,1076.415,1129.067_0.9621004_1088.521,Left,6.623125,2_0,61_66
11263,1077.216,1129.54_0.8429536_1085.559,Left,18.93848,0_1,61_65
11264,1077.856,892.6105_0.8433979_1175.439,Left,11.84102,0_2,51_61
11265,1078.016,760.5212_1.710887_1012.166,Right,17.02843,1_1,66_65
11266,1078.976,1130.014_0.8651666_1082.596,Left,33.20086,0_0,61_65
11267,1078.976,880.7526_0.8433979_1173.598,Left,33.01778,0_2,51_65
11268,1080.256,933.6493_0.730626_907.6638,Left,18.70686,0_3,65_66
11269,1081.216,942.5584_0.9621004_908.9393,Left,13.03457,2_0,65_51
11270,1081.376,880.7526_0.9621004_1173.598,Left,9.990816,2_0,51_65
11271,1081.536,1129.54_0.9621004_1085.559,Left,19.86314,2_0,61_65
11272,1082.497,948.4979_0.8433979_909.7896,Left,7.042192,0_2,65_61
11273,1083.137,759.5629_0.9621004_1018.089,Right,22.65654,2_0,66_61
11274,1083.137,886.6816_0.8429536_1174.519,Left,12.06503,0_1,51_65
11275,1083.937,757.6463_0.9621004_1029.935,Right,16.01456,2_0,66_51
11276,1084.257,759.0837_0.8651666_1021.051,Right,5.80198,0_0,66_61
11277,1084.897,758.6046_0.8651666_1024.012,Right,18.32324,0_0,66_51
11278,1085.057,889.6461_0.8651666_1174.979,Left,10.62312,0_0,51_65
11279,1085.697,877.7881_0.9621004_1173.138,Left,11.93081,2_0,51_66
11280,1086.658,880.7526_0.688456_1173.598,Left,25.82743,0_4,51_65
11281,1087.298,939.5887_0.730626_908.5142,Left,22.45738,0_3,65_51
11282,1087.778,945.5281_0.8433979_909.3644,Left,25.83628,0_2,65_51
11283,1087.938,886.6816_0.9621004_1174.519,Left,22.01362,2_0,51_65
11284,1089.538,1128.593_0.8429536_1091.483,Left,10.66324,0_1,61_66
11285,1090.018,1127.646_0.9621004_1097.408,Left,25.95661,2_0,61_66
11286,1090.498,760.5212_0.8429536_1012.166,Right,32.73923,0_1,66_65
11287,1091.299,1129.067_0.688456_1088.521,Left,25.46651,0_4,61_66
11288,1091.779,877.7881_0.8433979_1173.138,Left,25.46224,0_2,51_66
11289,1092.739,758.6046_0.8433979_1024.012,Right,11.78066,0_2,66_51
11290,1093.859,877.7881_0.9621004_1173.138,Left,7.677841,2_0,51_66
11291,1094.339,757.6463_0.688456_1029.935,Right,32.49586,0_4,66_51
11292,1094.819,883.7171_0.9621004_1174.058,Left,23.12676,2_0,51_65
11293,1095.299,760.5212_0.8651666_1012.166,Right,29.752,0_0,66_65
11294,1097.22,889.6461_0.9621004_1174.979,Left,7.115151,2_0,51_65
11295,1099.62,1127.173_0.9621004_1100.371,Left,26.37286,2_0,61_51
11296,1099.62,760.5212_0.730626_1012.166,Right,10.80377,0_3,66_65
11297,1099.94,1130.014_0.730626_1082.596,Left,8.778982,0_3,61_65
11298,1100.26,758.1254_0.8429536_1026.974,Right,23.0618,0_1,66_51
11299,1101.381,759.0837_0.8433979_1021.051,Right,26.1133,0_2,66_61
11300,1102.021,883.7171_0.730626_1174.058,Left,7.087746,0_3,51_65
11301,1103.141,758.6046_0.730626_1024.012,Right,20.20271,0_3,66_51
11302,1103.941,877.7881_0.8429536_1173.138,Left,8.400675,0_1,51_66
11303,1104.421,1127.173_0.730626_1100.371,Left,15.50945,0_3,61_51
11304,1106.982,942.5584_0.688456_908.9393,Left,23.44852,0_4,65_51
11305,1107.302,945.5281_0.8651666_909.3644,Left,27.46501,0_0,65_51
11306,1108.262,883.7171_0.9621004_1174.058,Left,18.81616,2_0,51_65
11307,1108.902,936.619_1.362484_908.089,Left,7.610373,1_2,65_51
11308,1109.863,1129.54_0.8429536_1085.559,Left,15.33447,0_1,61_65
11309,1110.183,939.5887_0.9621004_908.5142,Left,24.98242,2_0,65_51
11310,1110.343,1130.014_0.730626_1082.596,Left,25.17433,0_3,61_65
11311,1110.343,760.042_0.8429536_1015.128,Right,30.27727,0_1,66_61
11312,1111.463,933.6493_1.710887_907.6638,Left,20.3932,1_1,65_66
11313,1112.263,759.0837_0.9621004_1021.051,Right,14.5309,2_0,66_61
11314,1114.023,886.6816_0.9621004_1174.519,Left,7.264321,2_0,51_65
11315,1117.064,1128.593_0.9621004_1091.483,Left,24.61856,2_0,61_66
11316,1117.224,936.619_0.8433979_908.089,Left,17.91244,0_2,65_51
11317,1117.544,1129.067_0.730626_1088.521,Left,30.01893,0_3,61_66
11318,1118.024,889.6461_0.730626_1174.979,Left,31.21502,0_3,51_65
11319,1120.425,948.4979_0.8429536_909.7896,Left,17.84437,0_1,65_61
11320,1120.745,877.7881_0.9621004_1173.138,Left,6.927858,2_0,51_66
11321,1121.865,1127.173_0.8651666_1100.371,Left,12.84188,0_0,61_51
11322,1121.865,945.5281_0.8429536_909.3644,Left,20.4092,0_1,65_51
11323,1122.025,1128.593_0.8651666_1091.483,Left,21.94989,0_0,61_66
11324,1124.266,948.4979_0.9621004_909.7896,Left,15.98527,2_0,65_61
11325,1124.586,760.5212_0.8433979_1012.166,Right,12.24036,0_2,66_65
11326,1125.386,880.7526_0.8651666_1173.598,Left,16.1402,0_0,51_65
11327,1126.026,1127.173_0.688456_1100.371,Left,25.77036,0_4,61_51
11328,1130.187,759.0837_0.8429536_1021.051,Right,16.77536,0_1,66_61
11329,1131.467,948.4979_0.688456_909.7896,Left,31.31286,0_4,65_61
11330,1131.467,877.7881_0.8429536_1173.138,Left,25.9169,0_1,51_66
11331,1132.907,1129.067_0.9621004_1088.521,Left,12.41776,2_0,61_66
11332,1133.868,760.5212_0.730626_1012.166,Right,18.28899,0_3,66_65
11333,1134.188,880.7526_0.730626_1173.598,Left,22.81636,0_3,51_65
